title,slug,query_params,weight,published,exhibit_id,thumbnail_id,default_index_view_type,search_box,subtitle
Katharine Jane Densford Papers,Katharine-Jane-Densford-Papers,"{""q"":""set_spec:p16022coll507""}",45,TRUE,24,,list,TRUE,
La Raza Student Cultural Organization Records,La-Raza-Student-Cultural-Organization-Records,"{""q"":""set_spec:p16022coll605""}",46,TRUE,24,,list,TRUE,
Lloyd M. Short Papers,Lloyd-M-Short-Papers,"{""q"":""set_spec:p16022coll523""}",47,TRUE,24,,list,TRUE,
Margaret B. Davis Papers,Margaret-B-Davis-Papers,"{""q"":""set_spec:p16022coll578""}",48,TRUE,24,,list,TRUE,
Max Lowenthal Papers,Max-Lowenthal-Papers,"{""q"":""set_spec:p16022coll547""}",49,TRUE,24,,list,TRUE,
Minnesota Agricultural Experiment Station Records,Minnesota-Agricultural-Experiment-Station-Records,"{""q"":""set_spec:p16022coll369""}",50,TRUE,24,,list,TRUE,
Minnesota Center for Philosophy of Science Records,Minnesota-Center-for-Philosophy-of-Science-Records,"{""q"":""set_spec:p16022coll639""}",51,TRUE,24,,list,TRUE,
Minnesota Geological Survey Field Notebooks,Minnesota-Geological-Survey-Field-Notebooks,"{""q"":""set_spec:p16022coll347""}",52,TRUE,24,,list,TRUE,
Minnesota Geological Survey Papers,Minnesota-Geological-Survey-Papers,"{""q"":""set_spec:p16022coll239""}",53,TRUE,24,,list,TRUE,
Minnesota’s Human Rights Stories Oral History Project,Minnesota’s-Human-Rights-Stories-Oral-History-Project,"{""q"":""set_spec:p16022coll684""}",54,TRUE,24,,list,TRUE,
Moses Barron Papers,Moses-Barron-Papers,"{""q"":""set_spec:p16022coll234""}",55,TRUE,24,,list,TRUE,
Myrtle Jeannette Eklund Papers,Myrtle-Jeannette-Eklund-Papers,"{""q"":""set_spec:p16022coll517""}",56,TRUE,24,,list,TRUE,
"N. L. (Neal) Gault, Jr. Papers","N-L-(Neal)-Gault,-Jr-Papers","{""q"":""set_spec:p16022coll492""}",57,TRUE,24,,list,TRUE,
Ned L. Huff Lantern Slide Collection,Ned-L-Huff-Lantern-Slide-Collection,"{""q"":""set_spec:p16022coll174""}",58,TRUE,24,,list,TRUE,
Newton Horace Winchell Papers,Newton-Horace-Winchell-Papers,"{""q"":""set_spec:p16022coll243""}",59,TRUE,24,,list,TRUE,
Norman E. Borlaug Papers,Norman-E-Borlaug-Papers,"{""q"":""set_spec:p16022coll345""}",60,TRUE,24,,list,TRUE,
Norman W. Moen Papers,Norman-W-Moen-Papers,"{""q"":""set_spec:p16022coll370""}",61,TRUE,24,,list,TRUE,
Office of the President Records,Office-of-the-President-Records,"{""q"":""set_spec:p16022coll374""}",62,TRUE,24,,list,TRUE,
Office of the Senior VP for System Academic Administration Records,Office-of-the-Senior-VP-for-System-Academic-Administration-Records,"{""q"":""set_spec:p16022coll378""}",63,TRUE,24,,list,TRUE,
Office of the Vice President for Academic Administration Papers,Office-of-the-Vice-President-for-Academic-Administration-Papers,"{""q"":""set_spec:p16022coll509""}",64,TRUE,24,,list,TRUE,
Office of the Vice President for Academic Administration Records,Office-of-the-Vice-President-for-Academic-Administration-Records,"{""q"":""set_spec:p16022coll615""}",65,TRUE,24,,list,TRUE,
Office of the Vice President for Student Affairs Records,Office-of-the-Vice-President-for-Student-Affairs-Records,"{""q"":""set_spec:p16022coll372""}",66,TRUE,24,,list,TRUE,
Philosophical Psychology Lectures,Philosophical-Psychology-Lectures,"{""q"":""set_spec:p16022coll253""}",67,TRUE,24,,list,TRUE,
Richard Maurice Elliott Papers,Richard-Maurice-Elliott-Papers,"{""q"":""set_spec:p16022coll340""}",68,TRUE,24,,list,TRUE,
Senior and Agrarian School of Agriculture Yearbooks,Senior-and-Agrarian-School-of-Agriculture-Yearbooks,"{""q"":""set_spec:p16022coll338""}",69,TRUE,24,,list,TRUE,
